mpio;cod_mpio;nom_mpio;provincia;nom_dpto
585;52585;PUPIALES;SUR;NARIÑO
612;52612;RICAURTE;CENTRO OCCIDENTE;NARIÑO
621;52621;ROBERTO PAYAN;COSTA;NARIÑO
678;52678;SAMANIEGO;CENTRO OCCIDENTE;NARIÑO
683;52683;SANDONÁ;CENTRO;NARIÑO
685;52685;SAN BERNARDO;NORTE;NARIÑO
687;52687;SAN LORENZO;NORTE;NARIÑO
693;52693;SAN PABLO;NORTE;NARIÑO
694;52694;SAN PEDRO DE CARTAGO;NORTE;NARIÑO
696;52696;SANTA BARBARA;COSTA;NARIÑO
699;52699;SANTA CRUZ;CENTRO OCCIDENTE;NARIÑO
720;52720;SAPUYES;CENTRO OCCIDENTE;NARIÑO
786;52786;TAMINANGO;NORTE;NARIÑO
788;52788;TANGUA;CENTRO;NARIÑO
835;52835;TUMACO;COSTA;NARIÑO
838;52838;TUQUERRES;CENTRO OCCIDENTE;NARIÑO
885;52885;YACUANQUER;CENTRO;NARIÑO
1;54001;CÚCUTA;ORIENTAL;NORTE DE SANTANDER
3;54003;ABREGO;OCCIDENTE;NORTE DE SANTANDER
51;54051;ARBOLEDAS;CENTRO;NORTE DE SANTANDER
99;54099;BOCHALEMA;SUR ORIENTE;NORTE DE SANTANDER
109;54109;BUCARASICA;NORTE;NORTE DE SANTANDER
125;54125;CÁCOTA;SUR OCCIDENTE;NORTE DE SANTANDER
128;54128;CACHIRÁ;OCCIDENTE;NORTE DE SANTANDER
172;54172;CHINÁCOTA;SUR ORIENTE;NORTE DE SANTANDER
174;54174;CHITAGÁ;SUR OCCIDENTE;NORTE DE SANTANDER
206;54206;CONVENCIÓN;OCCIDENTE;NORTE DE SANTANDER
223;54223;CUCUTILLA;CENTRO;NORTE DE SANTANDER
239;54239;DURANIA;SUR ORIENTE;NORTE DE SANTANDER
245;54245;EL CARMEN;OCCIDENTE;NORTE DE SANTANDER
250;54250;EL TARRA;NORTE;NORTE DE SANTANDER
261;54261;EL ZULIA;ORIENTAL;NORTE DE SANTANDER
313;54313;GRAMALOTE;CENTRO;NORTE DE SANTANDER
344;54344;HACARÍ;OCCIDENTE;NORTE DE SANTANDER
347;54347;HERRÁN;SUR ORIENTE;NORTE DE SANTANDER
377;54377;LABATECA;SUR ORIENTE;NORTE DE SANTANDER
385;54385;LA ESPERANZA;OCCIDENTE;NORTE DE SANTANDER
398;54398;LA PLAYA;OCCIDENTE;NORTE DE SANTANDER
405;54405;LOS PATIOS;ORIENTAL;NORTE DE SANTANDER
418;54418;LOURDES;CENTRO;NORTE DE SANTANDER
480;54480;MUTISCUA;SUR OCCIDENTE;NORTE DE SANTANDER
498;54498;OCAÑA;OCCIDENTE;NORTE DE SANTANDER
518;54518;PAMPLONA;SUR OCCIDENTE;NORTE DE SANTANDER
520;54520;PAMPLONITA;SUR OCCIDENTE;NORTE DE SANTANDER
553;54553;PUERTO SANTANDER;ORIENTAL;NORTE DE SANTANDER
599;54599;RAGONVALIA;SUR ORIENTE;NORTE DE SANTANDER
660;54660;SALAZAR;CENTRO;NORTE DE SANTANDER
670;54670;SAN CALIXTO;OCCIDENTE;NORTE DE SANTANDER
673;54673;SAN CAYETANO;ORIENTAL;NORTE DE SANTANDER
680;54680;SANTIAGO;CENTRO;NORTE DE SANTANDER
720;54720;SARDINATA;NORTE;NORTE DE SANTANDER
743;54743;SILOS;SUR OCCIDENTE;NORTE DE SANTANDER
800;54800;TEORAMA;OCCIDENTE;NORTE DE SANTANDER
810;54810;TIBÚ;NORTE;NORTE DE SANTANDER
820;54820;TOLEDO;SUR ORIENTE;NORTE DE SANTANDER
871;54871;VILLA CARO;CENTRO;NORTE DE SANTANDER
874;54874;VILLA DEL ROSARIO;ORIENTAL;NORTE DE SANTANDER
1;63001;ARMENIA;CAPITAL;QUINDIO
111;63111;BUENAVISTA;CAPITAL;QUINDIO
130;63130;CALARCA;CAPITAL;QUINDIO
190;63190;CIRCASIA;NORTE;QUINDIO
212;63212;CoRDOBA;CORDILLERANOS;QUINDIO
272;63272;FILANDIA;FRIA;QUINDIO
302;63302;GeNOVA;CORDILLERANOS;QUINDIO
401;63401;LA TEBAIDA;VALLE;QUINDIO
470;63470;Montengro;VALLE;QUINDIO
548;63548;PIJAO;CORDILLERANOS;QUINDIO
594;63594;QUIMBAYA;VALLE;QUINDIO
690;63690;SALENTO;FRIA;QUINDIO
1;66001;PEREIRA;UNO - VERTIENTE ORIENTAL;RISARALDA
45;66045;APÍA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
75;66075;BALBOA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
88;66088;BELÉN DE UMBRÍA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
170;66170;DOSQUEBRADAS;UNO - VERTIENTE ORIENTAL;RISARALDA
318;66318;GUÁTICA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
383;66383;LA CELIA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
400;66400;LA VIRGINIA;UNO - VERTIENTE ORIENTAL;RISARALDA
440;66440;MARSELLA;UNO - VERTIENTE ORIENTAL;RISARALDA
456;66456;MISTRATÓ;TRES - VERTIENTE DEL PACIFICO;RISARALDA
572;66572;PUEBLO RICO;TRES - VERTIENTE DEL PACIFICO;RISARALDA
594;66594;QUINCHiA;DOS - VERTIENTE OCCIDENTAL;RISARALDA
682;66682;SANTA ROSA DE CABAL;UNO - VERTIENTE ORIENTAL;RISARALDA
687;66687;SANTUARIO;DOS - VERTIENTE OCCIDENTAL;RISARALDA
1;68001;BUCARAMANGA;SOTO;SANTANDER
13;68013;AGUADA;VELEZ;SANTANDER
20;68020;ALBANIA;VELEZ;SANTANDER
51;68051;ARATOCA;GUANENTA;SANTANDER
77;68077;BARBOSA;VELEZ;SANTANDER
79;68079;BARICHARA;GUANENTA;SANTANDER
81;68081;BARRANCABERMEJA;MARES;SANTANDER
92;68092;BETULIA;MARES;SANTANDER
101;68101;BOLÍVAR;VELEZ;SANTANDER
121;68121;CABRERA;GUANENTA;SANTANDER
132;68132;CALIFORNIA;SOTO;SANTANDER
147;68147;CAPITANEJO;GARCIA ROVIRA;SANTANDER
152;68152;CARCASÍ;GARCIA ROVIRA;SANTANDER
160;68160;CEPITÁ;GARCIA ROVIRA;SANTANDER
162;68162;CERRITO;GARCIA ROVIRA;SANTANDER
167;68167;CHARALÁ;GUANENTA;SANTANDER
169;68169;CHARTA;SOTO;SANTANDER
176;68176;CHIMA;COMUNERA;SANTANDER
179;68179;CHIPATÁ;VELEZ;SANTANDER
190;68190;CIMITARRA;VELEZ;SANTANDER
207;68207;CONCEPCIÓN;GARCIA ROVIRA;SANTANDER
209;68209;CONFINES;COMUNERA;SANTANDER
211;68211;CONTRATACIÓN;COMUNERA;SANTANDER
217;68217;COROMORO;GUANENTA;SANTANDER
229;68229;CURITÍ;GUANENTA;SANTANDER
235;68235;EL CARMEN DE CHUCURÍ;MARES;SANTANDER
245;68245;EL GUACAMAYO;COMUNERA;SANTANDER
250;68250;EL PEÑÓN;VELEZ;SANTANDER
255;68255;EL PLAYÓN;SOTO;SANTANDER
264;68264;ENCINO;GUANENTA;SANTANDER
266;68266;ENCISO;GARCIA ROVIRA;SANTANDER
271;68271;FLORIÁN;VELEZ;SANTANDER
276;68276;FLORIDABLANCA;SOTO;SANTANDER
296;68296;GALÁN;COMUNERA;SANTANDER
298;68298;GAMBITA;COMUNERA;SANTANDER
307;68307;GIRÓN;SOTO;SANTANDER
318;68318;GUACA;GARCIA ROVIRA;SANTANDER
320;68320;GUADALUPE;COMUNERA;SANTANDER
322;68322;GUAPOTÁ;COMUNERA;SANTANDER
324;68324;GUAVATÁ;VELEZ;SANTANDER
327;68327;GuEPSA;VELEZ;SANTANDER
344;68344;HATO;COMUNERA;SANTANDER
368;68368;JESÚS MARÍA;VELEZ;SANTANDER
370;68370;JORDÁN;GUANENTA;SANTANDER
377;68377;LA BELLEZA;VELEZ;SANTANDER
385;68385;LANDÁZURI;VELEZ;SANTANDER
397;68397;LA PAZ;VELEZ;SANTANDER
406;68406;LEBRÍJA;SOTO;SANTANDER
418;68418;LOS SANTOS;SOTO;SANTANDER
425;68425;MACARAVITA;GARCIA ROVIRA;SANTANDER
432;68432;MÁLAGA;GARCIA ROVIRA;SANTANDER
444;68444;MATANZA;SOTO;SANTANDER
464;68464;MOGOTES;GUANENTA;SANTANDER
468;68468;MOLAGAVITA;GARCIA ROVIRA;SANTANDER
498;68498;OCAMONTE;GUANENTA;SANTANDER
500;68500;OIBA;COMUNERA;SANTANDER
502;68502;ONZAGA;GUANENTA;SANTANDER
522;68522;PALMAR;COMUNERA;SANTANDER
524;68524;PALMAS DEL SOCORRO;COMUNERA;SANTANDER
533;68533;PÁRAMO;GUANENTA;SANTANDER
547;68547;PIEDECUESTA;SOTO;SANTANDER
549;68549;PINCHOTE;GUANENTA;SANTANDER
572;68572;PUENTE NACIONAL;VELEZ;SANTANDER
573;68573;PUERTO PARRA;VELEZ;SANTANDER
575;68575;PUERTO WILCHES;MARES;SANTANDER
615;68615;RIONEGRO;SOTO;SANTANDER
655;68655;SABANA DE TORRES;MARES;SANTANDER
669;68669;SAN ANDRÉS;GARCIA ROVIRA;SANTANDER
673;68673;SAN BENITO;VELEZ;SANTANDER
679;68679;SAN GIL;GUANENTA;SANTANDER
682;68682;SAN JOAQUÍN;GUANENTA;SANTANDER
684;68684;SAN JOSÉ DE MIRANDA;GARCIA ROVIRA;SANTANDER
686;68686;SAN MIGUEL;GARCIA ROVIRA;SANTANDER
689;68689;SAN VICENTE DE CHUCURÍ;MARES;SANTANDER
705;68705;SANTA BÁRBARA;SOTO;SANTANDER
720;68720;SANTA HELENA DEL OPÓN;COMUNERA;SANTANDER
745;68745;SIMACOTA;COMUNERA;SANTANDER
755;68755;SOCORRO;COMUNERA;SANTANDER
770;68770;SUAITA;COMUNERA;SANTANDER
773;68773;SUCRE;VELEZ;SANTANDER
780;68780;SURATA;SOTO;SANTANDER
820;68820;TONA;SOTO;SANTANDER
855;68855;VALLE DE SAN JOSÉ;GUANENTA;SANTANDER
861;68861;VÉLEZ;VELEZ;SANTANDER
867;68867;VETAS;SOTO;SANTANDER
872;68872;VILLANUEVA;GUANENTA;SANTANDER
895;68895;ZAPATOCA;MARES;SANTANDER
1;70001;SINCELEJO;MONTES DE MARIA;SUCRE
110;70110;BUENAVISTA;SABANAS;SUCRE
124;70124;CAIMITO;SAN JORGE;SUCRE
204;70204;COLOSO;MONTES DE MARIA;SUCRE
215;70215;COROZAL;SABANAS;SUCRE
221;70221;COVEÑAS;MORROSQUILLO;SUCRE
230;70230;CHALÁN;MONTES DE MARIA;SUCRE
233;70233;EL ROBLE;SABANAS;SUCRE
235;70235;GALERAS;SABANAS;SUCRE
265;70265;GUARANDA;MOJANA;SUCRE
400;70400;LA UNIÓN;SAN JORGE;SUCRE
418;70418;LOS PALMITOS;SABANAS;SUCRE
429;70429;MAJAGUAL;MOJANA;SUCRE
473;70473;MORROA;MONTES DE MARIA;SUCRE
508;70508;OVEJAS;MONTES DE MARIA;SUCRE
523;70523;PALMITO;MORROSQUILLO;SUCRE
670;70670;SAMPUÉS;SABANAS;SUCRE
678;70678;SAN BENITO ABAD;SAN JORGE;SUCRE
702;70702;SAN JUAN BETULIA;SABANAS;SUCRE
708;70708;SAN MARCOS;SAN JORGE;SUCRE
713;70713;SAN ONOFRE;MORROSQUILLO;SUCRE
717;70717;SAN PEDRO;SABANAS;SUCRE
742;70742;SINCÉ;SABANAS;SUCRE
771;70771;SUCRE;MOJANA;SUCRE
820;70820;SANTIAGO DE TOLÚ;MORROSQUILLO;SUCRE
823;70823;TOLÚ VIEJO;MORROSQUILLO;SUCRE
1;73001;IBAGUe;IBAGUE;TOLIMA
24;73024;ALPUJARRA;SURORIENTE;TOLIMA
26;73026;ALVARADO;IBAGUE;TOLIMA
30;73030;AMBALEMA;NORTE;TOLIMA
43;73043;ANZOÁTEGUI;IBAGUE;TOLIMA
55;73055;ARMERO;NORTE;TOLIMA
67;73067;ATACO;SUR;TOLIMA
124;73124;CAJAMARCA;IBAGUE;TOLIMA
148;73148;CARMEN DE APICALÁ;ORIENTE;TOLIMA
152;73152;CASABIANCA;NEVADOS;TOLIMA
168;73168;CHAPARRAL;SUR;TOLIMA
200;73200;COELLO;IBAGUE;TOLIMA
217;73217;COYAIMA;SUR;TOLIMA
226;73226;CUNDAY;ORIENTE;TOLIMA
236;73236;DOLORES;SURORIENTE;TOLIMA
268;73268;ESPINAL;IBAGUE;TOLIMA
270;73270;FALAN;NORTE;TOLIMA
275;73275;FLANDES;IBAGUE;TOLIMA
283;73283;FRESNO;NORTE;TOLIMA
319;73319;GUAMO;SURORIENTE;TOLIMA
347;73347;HERVEO;NEVADOS;TOLIMA
349;73349;HONDA;NORTE;TOLIMA
352;73352;ICONONZO;ORIENTE;TOLIMA
408;73408;LeRIDA;NEVADOS;TOLIMA
411;73411;LiBANO;NEVADOS;TOLIMA
443;73443;MARIQUITA;NORTE;TOLIMA
449;73449;MELGAR;ORIENTE;TOLIMA
461;73461;MURILLO;NEVADOS;TOLIMA
483;73483;NATAGAIMA;SUR;TOLIMA
504;73504;ORTEGA;SUR;TOLIMA
520;73520;PALOCABILDO;NORTE;TOLIMA
547;73547;PIEDRAS;IBAGUE;TOLIMA
555;73555;PLANADAS;SUR;TOLIMA
563;73563;PRADO;SURORIENTE;TOLIMA
585;73585;PURIFICACIÓN;SURORIENTE;TOLIMA
616;73616;RIOBLANCO;SUR;TOLIMA
622;73622;RONCESVALLES;SUR;TOLIMA
624;73624;ROVIRA;IBAGUE;TOLIMA
671;73671;SALDAÑA;SURORIENTE;TOLIMA
675;73675;SAN ANTONIO;SUR;TOLIMA
678;73678;SAN LUIS;IBAGUE;TOLIMA
686;73686;SANTA ISABEL;NEVADOS;TOLIMA
770;73770;SUÁREZ;SURORIENTE;TOLIMA
854;73854;VALLE DE SAN JUAN;IBAGUE;TOLIMA
861;73861;VENADILLO;NEVADOS;TOLIMA
870;73870;VILLAHERMOSA;NEVADOS;TOLIMA
873;73873;VILLARRICA;ORIENTE;TOLIMA
1;76001;CALI;SUR;VALLE DEL CAUCA
20;76020;ALCALa;NORTE;VALLE DEL CAUCA
36;76036;ANDALUCÍA;CENTRO;VALLE DEL CAUCA
41;76041;ANSERMANUEVO;NORTE;VALLE DEL CAUCA
54;76054;ARGELIA;NORTE;VALLE DEL CAUCA
100;76100;BOLÍVAR;NORTE;VALLE DEL CAUCA
109;76109;BUENAVENTURA;OCCIDENTE;VALLE DEL CAUCA
111;76111;BUGA;CENTRO;VALLE DEL CAUCA
113;76113;BUGALAGRANDE;CENTRO;VALLE DEL CAUCA
122;76122;CAICEDONIA;ORIENTE;VALLE DEL CAUCA
126;76126;CALIMA;CENTRO;VALLE DEL CAUCA
130;76130;CANDELARIA;SUR;VALLE DEL CAUCA
147;76147;CARTAGO;NORTE;VALLE DEL CAUCA
233;76233;DAGUA;SUR;VALLE DEL CAUCA
243;76243;EL ÁGUILA;NORTE;VALLE DEL CAUCA
246;76246;EL CAIRO;NORTE;VALLE DEL CAUCA
248;76248;EL CERRITO;CENTRO;VALLE DEL CAUCA
250;76250;EL DOVIO;NORTE;VALLE DEL CAUCA
275;76275;FLORIDA;SUR;VALLE DEL CAUCA
306;76306;GINEBRA;CENTRO;VALLE DEL CAUCA
318;76318;GUACARÍ;CENTRO;VALLE DEL CAUCA
364;76364;JAMUNDÍ;SUR;VALLE DEL CAUCA
377;76377;LA CUMBRE;SUR;VALLE DEL CAUCA
400;76400;LA UNIÓN;NORTE;VALLE DEL CAUCA
403;76403;LA VICTORIA;NORTE;VALLE DEL CAUCA
497;76497;OBANDO;NORTE;VALLE DEL CAUCA
520;76520;PALMIRA;SUR;VALLE DEL CAUCA
563;76563;PRADERA;SUR;VALLE DEL CAUCA
606;76606;RESTREPO;CENTRO;VALLE DEL CAUCA
616;76616;RIOFRIO;CENTRO;VALLE DEL CAUCA
622;76622;ROLDANILLO;NORTE;VALLE DEL CAUCA
670;76670;SAN PEDRO;CENTRO;VALLE DEL CAUCA
736;76736;SEVILLA;ORIENTE;VALLE DEL CAUCA
823;76823;TORO;NORTE;VALLE DEL CAUCA
828;76828;TRUJILLO;CENTRO;VALLE DEL CAUCA
834;76834;TULUÁ;CENTRO;VALLE DEL CAUCA
845;76845;ULLOA;NORTE;VALLE DEL CAUCA
863;76863;VERSALLES;NORTE;VALLE DEL CAUCA
869;76869;VIJES;SUR;VALLE DEL CAUCA
890;76890;YOTOCO;CENTRO;VALLE DEL CAUCA
892;76892;YUMBO;SUR;VALLE DEL CAUCA
895;76895;ZARZAL;NORTE;VALLE DEL CAUCA
1;81001;ARAUCA;ARAUCA;ARAUCA
65;81065;ARAUQUITA;ARAUCA;ARAUCA
220;81220;CRAVO NORTE;ARAUCA;ARAUCA
300;81300;FORTUL;ARAUCA;ARAUCA
591;81591;PUERTO RONDÓN;ARAUCA;ARAUCA
736;81736;SARAVENA;ARAUCA;ARAUCA
794;81794;TAME;ARAUCA;ARAUCA
1;85001;YOPAL;CASANARE;CASANARE
10;85010;AGUAZUL;CASANARE;CASANARE
15;85015;CHAMEZA;CASANARE;CASANARE
125;85125;HATO COROZAL;CASANARE;CASANARE
136;85136;LA SALINA;CASANARE;CASANARE
139;85139;MANÍ;CASANARE;CASANARE
162;85162;MONTERREY;CASANARE;CASANARE
225;85225;NUNCHÍA;CASANARE;CASANARE
230;85230;OROCUÉ;CASANARE;CASANARE
250;85250;PAZ DE ARIPORO;CASANARE;CASANARE
263;85263;PORE;CASANARE;CASANARE
279;85279;RECETOR;CASANARE;CASANARE
300;85300;SABANALARGA;CASANARE;CASANARE
315;85315;SÁCAMA;CASANARE;CASANARE
325;85325;SAN LUIS DE PALENQUE;CASANARE;CASANARE
400;85400;TÁMARA;CASANARE;CASANARE
410;85410;TAURAMENA;CASANARE;CASANARE
430;85430;TRINIDAD;CASANARE;CASANARE
440;85440;VILLANUEVA;CASANARE;CASANARE
1;86001;MOCOA;PUTUMAYO;PUTUMAYO
219;86219;COLÓN;PUTUMAYO;PUTUMAYO
320;86320;ORITO;PUTUMAYO;PUTUMAYO
568;86568;PUERTO ASIS;PUTUMAYO;PUTUMAYO
569;86569;PUERTO CAICEDO;PUTUMAYO;PUTUMAYO
571;86571;PUERTO GUZMAN;PUTUMAYO;PUTUMAYO
573;86573;PUERTO LEGUIZAMO;PUTUMAYO;PUTUMAYO
749;86749;SIBUNDOY;PUTUMAYO;PUTUMAYO
755;86755;SAN FRANCISCO;PUTUMAYO;PUTUMAYO
757;86757;SAN MIGUEL;PUTUMAYO;PUTUMAYO
760;86760;SANTIAGO;PUTUMAYO;PUTUMAYO
865;86865;VALLE DEL GUAMUEZ;PUTUMAYO;PUTUMAYO
885;86885;VILLA GARZON;PUTUMAYO;PUTUMAYO
1;88001;SAN ANDReS;ARCHIPIELAGO DE SAN ANDRES;ARCHIPIELAGO DE SAN ANDRES
564;88564;PROVIDENCIA Y SANTA CATALINA;ARCHIPIELAGO DE SAN ANDRES;ARCHIPIELAGO DE SAN ANDRES
1;91001;LETICIA;AMAZONAS;AMAZONAS
263;91263;EL ENCANTO;AMAZONAS;AMAZONAS
405;91405;LA CHORRERA;AMAZONAS;AMAZONAS
407;91407;LA PEDRERA;AMAZONAS;AMAZONAS
430;91430;LA VICTORIA;AMAZONAS;AMAZONAS
460;91460;MIRITI - PARANÁ;AMAZONAS;AMAZONAS
530;91530;PUERTO ALEGRIA;AMAZONAS;AMAZONAS
536;91536;PUERTO ARICA;AMAZONAS;AMAZONAS
540;91540;PUERTO NARIÑO;AMAZONAS;AMAZONAS
669;91669;PUERTO SANTANDER;AMAZONAS;AMAZONAS
798;91798;TARAPACÁ;AMAZONAS;AMAZONAS
1;94001;INÍRIDA;GUAINIA;GUAINIA
343;94343;BARRANCO MINA;GUAINIA;GUAINIA
663;94663;MAPIRIPAN;GUAINIA;GUAINIA
883;94883;SAN FELIPE;GUAINIA;GUAINIA
884;94884;PUERTO COLOMBIA;GUAINIA;GUAINIA
885;94885;LA GUADALUPE;GUAINIA;GUAINIA
886;94886;CACAHUAL;GUAINIA;GUAINIA
887;94887;PANA PANA;GUAINIA;GUAINIA
888;94888;MORICHAL;GUAINIA;GUAINIA
1;95001;SAN JOSÉ DEL GUAVIARE;GUAVIARE;GUAVIARE
15;95015;CALAMAR;GUAVIARE;GUAVIARE
25;95025;EL RETORNO;GUAVIARE;GUAVIARE
200;95200;MIRAFLORES;GUAVIARE;GUAVIARE
1;97001;MITÚ;VAUPES;VAUPES
161;97161;CARURU;VAUPES;VAUPES
511;97511;PACOA;VAUPES;VAUPES
666;97666;TARAIRA;VAUPES;VAUPES
777;97777;PAPUNAHUA;VAUPES;VAUPES
889;97889;YAVARATÉ;VAUPES;VAUPES
1;99001;PUERTO CARREÑO;VICHADA;VICHADA
524;99524;LA PRIMAVERA;VICHADA;VICHADA
624;99624;SANTA ROSALÍA;VICHADA;VICHADA
773;99773;CUMARIBO;VICHADA;VICHADA
